id,author_id,created_at,geo,retweet_count,reply_count,like_count,qoute_count,text,entities,context_annotations
1280125468201627648,1072187272815149057,2020-07-06 13:04:29+00:00,,532,33,1333,35,"Mit insgesamt 137 Mrd. Euro an Steuern werden fossile Brennstoffe in Europa pro Jahr künstlich am Leben gehalten. Deutschland ist Spitzenreiter:

🇳🇴 2,4 Mrd.€
🇪🇸 3,4 Mrd.€
🇧🇪 6,9 Mrd.€
...
🇫🇷 17,5 Mrd.€
🇮🇹 18,3 Mrd.€
🇬🇧 19 Mrd.€

🇩🇪 37,5 Mrd.€
https://t.co/5nS58oq6i8","{'urls': [{'start': 244, 'end': 267, 'url': 'https://t.co/5nS58oq6i8', 'expanded_url': 'https://www.investigate-europe.eu/de/2020/milliarden-subventionen-gegen-die-klimaziele/', 'display_url': 'investigate-europe.eu/de/2020/millia…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1509471943539499009/Ml42ZKka?format=jpg&name=orig', 'width': 1920, 'height': 1080}, {'url': 'https://pbs.twimg.com/news_img/1509471943539499009/Ml42ZKka?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'Milliarden-Subventionen gegen die Klimaziele', 'description': 'Mit einem ambitionierten Plan wollte die EU in diesem Jahr die Klima-Krise lösen. Doch Mitgliedsstaaten unterwandern diese Bemühungen, wie eine ""Investigate Europe""-Recherche zeigt. Denn die EU-Regierungen sowie die Großbritanniens, Norwegens und der Schweiz subventionieren fossile Brennstoffe jährlich mit mindestens 137 Milliarden Euro.', 'unwound_url': 'https://www.investigate-europe.eu/de/2020/milliarden-subventionen-gegen-die-klimaziele/'}]}",[]
1279801212087480325,1072187272815149057,2020-07-05 15:36:01+00:00,,211,25,1664,3,"In Germany we don’t say “Für die Profite von Kohlekonzernen steigen wir aus dem Pariser Klimaabkommen aus und vernichten Dörfer”, we say “DeuTSchLaNd ISt DiE eRSTe inDuSTriENaTIon, dIE aUs kOHle UNd atOm AUssTeiGT!!1” and I think that’s terrible.",None,[]
1279792468133888002,1072187272815149057,2020-07-05 15:01:16+00:00,,128,15,624,8,"In dieser Woche gab es in mehr Städten Streiks gegen das #Kohlegesetz als Abgeordnete, die Klimagerechtigkeit ernst nehmen! Die Verlängerung der Kohle bis 2038 werden wir nicht zulassen. Schließt euch uns an &amp; streikt gegen die #GroßeKohleKoalition! https://t.co/nDNlzGuEkL","{'urls': [{'start': 254, 'end': 277, 'url': 'https://t.co/nDNlzGuEkL', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1279792468133888002/photo/1', 'display_url': 'pic.twitter.com/nDNlzGuEkL', 'media_key': '3_1279790450891730944'}, {'start': 254, 'end': 277, 'url': 'https://t.co/nDNlzGuEkL', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1279792468133888002/photo/1', 'display_url': 'pic.twitter.com/nDNlzGuEkL', 'media_key': '3_1279790191809564672'}], 'hashtags': [{'start': 57, 'end': 69, 'tag': 'Kohlegesetz'}, {'start': 232, 'end': 252, 'tag': 'GroßeKohleKoalition'}]}",[]
1279073049426493441,1072187272815149057,2020-07-03 15:22:33+00:00,,299,0,0,0,RT @AkteKeyenberg: Gegen das eben verabschiedete #Kohlegesetz werden wir Verfassungsbeschwerde einreichen! Das Gesetz verstößt gegen unsere…,"{'mentions': [{'start': 3, 'end': 17, 'username': 'AkteKeyenberg', 'id': '1177253492701958144'}], 'hashtags': [{'start': 49, 'end': 61, 'tag': 'Kohlegesetz'}]}",[]
1279000123469594624,1072187272815149057,2020-07-03 10:32:46+00:00,,403,40,2439,24,"#HOWDAREYOU CDU, CSU &amp; SPD?!","{'hashtags': [{'start': 0, 'end': 11, 'tag': 'HOWDAREYOU'}]}",[]
1278997061720031232,1072187272815149057,2020-07-03 10:20:36+00:00,,672,113,2957,26,Im Polarkreis hat es 38 Grad &amp; im Amazonas wüten die schwersten Brände seit Jahren. Die heutige Verlängerung der Kohle bis 2038 gleicht dem deutschen Ausstieg aus dem Pariser Klimaabkommen – nur 4 Jahre nach dessen Unterschrift. Wir werden diesen #Kohleausstieg nicht akzeptieren!,"{'hashtags': [{'start': 251, 'end': 265, 'tag': 'Kohleausstieg'}]}",[]
1278947609764298753,1072187272815149057,2020-07-03 07:04:06+00:00,,173,0,0,0,RT @Ende__Gelaende: Jetzt gehts los. Die Pressekonferenz vor dem Bundestag zum #KohleEINstiegsgesetz. #FCK2038  https://t.co/Cmcg0eX4y0,"{'mentions': [{'start': 3, 'end': 18, 'username': 'Ende__Gelaende', 'id': '3232960847'}], 'urls': [{'start': 112, 'end': 135, 'url': 'https://t.co/Cmcg0eX4y0', 'expanded_url': 'https://www.pscp.tv/w/cc14KzFheWpWZ2F5dm9aRXB8MVprS3ptemxCb3Z4diQg7Qp4ipM-fFSywvXJ51LSFjHu5cgMUiILNsEwb9p9', 'display_url': 'pscp.tv/w/cc14KzFheWpW…', 'status': 200, 'unwound_url': 'https://www.pscp.tv/w/cc14KzFheWpWZ2F5dm9aRXB8MVprS3ptemxCb3Z4diQg7Qp4ipM-fFSywvXJ51LSFjHu5cgMUiILNsEwb9p9'}], 'hashtags': [{'start': 79, 'end': 100, 'tag': 'KohleEINstiegsgesetz'}, {'start': 102, 'end': 110, 'tag': 'FCK2038'}]}","[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '1099777660912263168', 'name': 'German Bundestag', 'description': 'The Bundestag is the German federal parliament.'}}]"
1278947279110639617,1072187272815149057,2020-07-03 07:02:47+00:00,,190,59,962,11,"Seit 1,5 Jahren streiken wir auf den Straßen &amp; im Netz. Die Folge: Die Klimakrise ist noch immer DAS Top-Thema in DE. Als Antwort darauf will die GroKo die Kohle heute bis 2038 verlängern?!

Wie sähe unser Land aus, wenn statt den Lobbys die Bevölkerung regieren würde? #FCK2038 https://t.co/Y7dDYaBqpi","{'urls': [{'start': 283, 'end': 306, 'url': 'https://t.co/Y7dDYaBqpi', 'expanded_url': 'https://twitter.com/FridayForFuture/status/1278947279110639617/photo/1', 'display_url': 'pic.twitter.com/Y7dDYaBqpi', 'media_key': '3_1278935576515878912'}], 'hashtags': [{'start': 274, 'end': 282, 'tag': 'FCK2038'}]}",[]
1278765006692196352,1072187272815149057,2020-07-02 18:58:30+00:00,,184,29,794,8,EIL: Die Polizei in Augsburg reagiert heute völlig unverhältnismäßig auf die friedlichen #FridaysForFuture-Proteste vor Ort. Solidarisieren wir uns mit @FFF_Augsburg! Hier die Infos 👇 https://t.co/9oNEsXHSRq,"{'urls': [{'start': 184, 'end': 207, 'url': 'https://t.co/9oNEsXHSRq', 'expanded_url': 'https://twitter.com/FFF_Augsburg/status/1278760872094117891', 'display_url': 'twitter.com/FFF_Augsburg/s…'}], 'hashtags': [{'start': 89, 'end': 106, 'tag': 'FridaysForFuture'}], 'mentions': [{'start': 152, 'end': 165, 'username': 'FFF_Augsburg', 'id': '1084148354064572416'}]}",[]
1278750843291013120,1072187272815149057,2020-07-02 18:02:13+00:00,,63,3,264,6,"""Generationengerechte Politik sieht anders aus"". @PPinzler bringt das #Kohlegesetz auf den Punkt:
https://t.co/2f2IhwGISg","{'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/2f2IhwGISg', 'expanded_url': 'https://www.zeit.de/wirtschaft/2020-07/kohleausstieg-2038-bundestag-kohleausstiegsgesetz-klimaschutz-energie', 'display_url': 'zeit.de/wirtschaft/202…'}], 'hashtags': [{'start': 70, 'end': 82, 'tag': 'Kohlegesetz'}], 'mentions': [{'start': 49, 'end': 58, 'username': 'PPinzler', 'id': '1734692346'}]}",[]
