author_id,conversation_id,created_at,entities,geo,id,text,retweet_count,reply_count,like_count,quote_count,media_keys,username
126978307,1538920938875633669,2022-06-20 16:44:28+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'reve_rof_repins', 'id': '1513577043912536076'}]}",,1538925764611014658,"@reve_rof_repins Toleranz heißt, dass Ihnen niemand verbietet, etwas gegen FridaysForFuture zu schreiben

Toleranz heißt aber NICHT, dass Sie nicht dafür kritisiert werden dürfen Das ist nämlich auch erlaubt

Meinungsfreiheit muss immer in beiden Richtungen funktionieren",0,0,2,0,,Kl_Stone
126978307,1538923134463750144,2022-06-20 16:40:58+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'LenaSakuraBlume', 'id': '3215961051'}]}",,1538924882238615555,"@LenaSakuraBlume Dahinter Russenhass zu vermuten, ist sehr sehr dumm

FridaysForFuture hat nichts gegen Russen, aber verurteilt PutinsKrieg und ist für einen Importstopp für russisches Öl amp Gas

Lücken kurzzeitig mit Kohle zu füllen ist ok, wenn gleichzeitig die EE schnell ausgebaut werden",0,1,9,0,,Kl_Stone
126978307,1538821683376795648,2022-06-20 09:55:27+00:00,,,1538822830116294657,"22

Einige DayAhead Börsenpreise Strom 1 MWh für Bestellung am 180622 und Lieferung am 190622

Deutschland:  155    59,7 EE am 190622 
Frankreich:      165 
Polen:               118 
Dänemark 1:    155 

FridaysForFuture https:tcoMH2dCpy9W7",0,0,3,0,3_1538821941670420482,Kl_Stone
126978307,1538821683376795648,2022-06-20 09:50:53+00:00,,,1538821683376795648,"Nettostromerzeugung in D am gestrigen 19062022

Gesamt 1,169 TWh

EE Wind, Sonne, Biom, Wasser:  59,7
Fossil Kohle, Gas, Öl:                     34,9
Nuklear:                                                 5,4

12

FridaysForFuture https:tcothB4vYCnIu",5,1,8,0,3_1538821163480145922,Kl_Stone
126978307,1538593035168120832,2022-06-20 09:46:19+00:00,"{'mentions': [{'start': 0, 'end': 11, 'username': 'querficker', 'id': '1467075997983981571'}, {'start': 12, 'end': 21, 'username': 'StKuhnen', 'id': '1575090241'}]}",,1538820532828782593,"@querficker @StKuhnen Das denken zwar manche Querspinner, aber natürlich ist das Unfug Es gibt keinen Fall in dem sich jemals so etwas bestätigt hätte

Hauptursachen für Waldbrände sind Fahrlässigkeit, technische Defekte oder Blitze

FridaysForFuture",0,0,0,0,,Kl_Stone
126978307,1538814151199444993,2022-06-20 09:33:42+00:00,,,1538817358957002754,"3x

Für die französischen Grünen EELV hat sich jedenfalls die Teilnahme an dem Bündnis NUPES gelohnt 

Hatten sie in der Parlamentswahl 2017 nur einen Direktkandidaten durchgebracht, waren es diesmal 23

FridaysForFuture Klimawahl 
https:tcogD0PvwTjn0",1,1,3,0,,Kl_Stone
126978307,1538814151199444993,2022-06-20 09:27:57+00:00,,,1538815912047955968,"2x

Zweitstärkste Kraft wird das linksgrüne Wahlbündnis Nouvelle union populaire écologique et sociale Nupes 

Aufgrund des nicht besonders demokratischen Mehrheitswahlrechts reichen die 31,6 der Stimmen hier nur 131 Sitze

FridaysForFuture Klimawahl https:tcoXfrhiHuA6I",1,1,1,0,3_1538815435260448768,Kl_Stone
126978307,1538814151199444993,2022-06-20 09:20:58+00:00,,,1538814151199444993,"PARLAMENTSWAHL FRANKREICH:

Stärkste Kraft in der neugewählten Nationalversammlung ist Macrons Esemble die mit 38,6 der Stimmen auf 245 der insgesamt 577 Sitze kommt und damit die absolute Mehrheit aber deutlich verfehlt

1x

FridaysForFuture Klimawahl https:tcoV7YQK5ufnW",1,1,1,0,3_1538813043811004418,Kl_Stone
126978307,1538766635825131521,2022-06-20 08:16:56+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'SayNoToSino', 'id': '1257878321901137920'}]}",,1538798039648944128,"@SayNoToSino Despite this, per capita CO2 emissions in the US are still twice as high as in China

So the US has a lot more to go down before its on the same level as China

FridaysForFuture",0,0,2,0,,Kl_Stone
126978307,1534503576894156802,2022-06-20 08:12:04+00:00,"{'mentions': [{'start': 0, 'end': 9, 'username': 'McCrushi', 'id': '832823154435293184'}]}",,1538796815268687872,"@McCrushi Und warum fliegst Du Rotzgöre da nicht hin und räumst auf, anstatt andere Leute zu beleidigen 

Und übrigens hat FridaysForFuture in Guatemala ganz im Gegensatz zu Deinem Gehetze dieses Problem aufgegriffen https:tcoIOQUVTTZDr",0,0,0,0,3_1538796772490940421,Kl_Stone
126978307,1538794685812047872,2022-06-20 08:03:37+00:00,,,1538794685812047872,"Dürre in Norditalien: 
Da aufgrund des gesunkenen Flußpegels des Po zT kein Wasser mehr in landwirtschaftliche Bewässerungskanäle fließt, werden nun Traktoren zum Pumpen eingesetzt

FridaysForFuture 
https:tcobKOZflOo1i",0,3,1,1,,Kl_Stone
126978307,1538454139403120640,2022-06-20 07:44:02+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'Judenberg', 'id': '29286367'}, {'start': 11, 'end': 23, 'username': 'Frentzhart2', 'id': '1316325368756920321'}]}",,1538789759925080064,"@Judenberg @Frentzhart2 Im November, Dezember, Januar amp Februar haben wir idR deutlich mehr Wind als im Sommer 

Tatsächlich produzieren wir im Winter in der Summe mehr Energie aus Sonne  Wind zusammen, als im Sommer

FridaysForFuture 
https:tcopoyOBMm9JQ",0,1,1,0,,Kl_Stone
126978307,1538546746711752707,2022-06-20 07:03:15+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'frank5403', 'id': '2160769487'}, {'start': 11, 'end': 21, 'username': 'OSchreibt', 'id': '1008697342617358336'}]}",,1538779493401337856,"@frank5403 @OSchreibt 5x

raschen Erwärmung, die durch Methanausgasungen aus tauenden Permafrostböden was übrigens jetzt gerade auch wieder beginnt verstärkt wurde Es wurden Werte von 15002000ppm erreicht und die globale Mitteltemperatur stieg auf über 30C

FridaysForFuture",0,0,0,0,,Kl_Stone
126978307,1538546746711752707,2022-06-20 06:57:45+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'frank5403', 'id': '2160769487'}, {'start': 11, 'end': 21, 'username': 'OSchreibt', 'id': '1008697342617358336'}]}",,1538778109968777217,"@frank5403 @OSchreibt 4x

4x

verbunden mit dem Aussterben nicht nur der Saurier, sondern eines großen Teils der damaligen Flora amp Fauna

Nach dem Verschwinden der Aerosole führte dann die bereits durch den Supervulkanismus stark gestiegene CO2Konzentration zu einer

FridaysForFuture",0,1,0,0,,Kl_Stone
126978307,1538546746711752707,2022-06-20 06:47:45+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'frank5403', 'id': '2160769487'}, {'start': 11, 'end': 21, 'username': 'OSchreibt', 'id': '1008697342617358336'}]}",,1538775592858005505,"@frank5403 @OSchreibt 3x

der KreidePaläogenGrenze vor rund 67 Millionen Jahren und eine nachfolgende Zeit mit enormen Supervulkanismus in der nördlichen Hemisphäre führten erst kurzfristig zu einer extremen Abkühlung Abdunklung des Sonnenlichts durch die Aerosole

FridaysForFuture",0,1,0,0,,Kl_Stone
126978307,1538546746711752707,2022-06-20 06:43:33+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'frank5403', 'id': '2160769487'}, {'start': 11, 'end': 21, 'username': 'OSchreibt', 'id': '1008697342617358336'}]}",,1538774535784341504,"@frank5403 @OSchreibt 2x

kurz nach Ende der Kreidezeit war zeitweise viel höher als heute 15002000ppm vs 420ppm Und damit verbunden war auch eine deutlich höhere globale Mitteltemperatur

Man weiß aber auch, warum das so war Der Einschlag des ChicxulubAsteroiden an

FridaysForFuture",0,1,0,0,,Kl_Stone
126978307,1538546746711752707,2022-06-20 06:35:57+00:00,"{'mentions': [{'start': 0, 'end': 10, 'username': 'frank5403', 'id': '2160769487'}, {'start': 11, 'end': 21, 'username': 'OSchreibt', 'id': '1008697342617358336'}]}",,1538772623835992064,"@frank5403 @OSchreibt Ich finde es immer irgendwo zwischen amüsant amp traurig wenn SchmalspurDiskutanten versuchen mit zwei oder drei ausgeschnittenen GraphenSchnippselchen  die sie selbst gar nicht verstehen etwas zu widerlegen

Ja, die CO2Konzentration im Känozoikum

1x

FridaysForFuture https:tcodLeXXJ52rY",0,1,0,0,3_1538772098981715969,Kl_Stone
126978307,1538479697960620032,2022-06-20 06:08:03+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'KommisPolitik', 'id': '1164451603417632770'}, {'start': 15, 'end': 29, 'username': 'Revolutia1982', 'id': '843048706568044544'}]}",,1538765605595238400,"@KommisPolitik @Revolutia1982 Zwar hat damals die BLÖDZeitung so getitelt, nicht aber das IPCC

Gemeint war damit aber nicht, dass in 13 Jahren die Welt untergeht, sondern dass wir in 13 J einen Punkt erreicht haben werden, der das Vermeiden klimatischer Kipppunkte fast unmöglich macht

FridaysForFuture",0,1,1,0,,Kl_Stone
126978307,1538623379221135363,2022-06-20 05:54:56+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'Roberto22117551', 'id': '1175693805544255488'}]}",,1538762301393752064,"@Roberto22117551 Da FridaysForFuture zumindest in Deutschland, aber vermutlich überall einen schnellen Stopp der Energieimporte aus Russland befürwortet, wird sie vermutlich nichts gegen eine solche KohleNotfallreserve haben

Vorausgesetzt es erfolgt parallel ein schneller EEAusbau https:tcoGxtqfREBAb",3,1,3,0,3_1538762217428066305,Kl_Stone
126978307,1538632902837248000,2022-06-20 05:04:22+00:00,"{'mentions': [{'start': 0, 'end': 13, 'username': 'CK13TheTruth', 'id': '1490011703827959809'}]}",{'place_id': '307e1ee2cb489e79'},1538749577968463872,"@CK13TheTruth Kluge Leute hätten jetzt gewusst, dass das AKW Brokdorf längst abgeschaltet ist

Aktuell laufen noch die AKW Emsland, Isar 2 und Neckarwestheim 2

FridaysForFuture AtomkraftNeinDanke",2,1,4,0,,Kl_Stone
126978307,1538745917167357952,2022-06-20 04:49:49+00:00,,{'place_id': '307e1ee2cb489e79'},1538745917167357952,"FridaysForFuture 
https:tcoD2huNGou7F",2,0,4,0,,Kl_Stone
126978307,1538740895213924352,2022-06-20 04:29:52+00:00,,{'place_id': '307e1ee2cb489e79'},1538740895213924352,"Bienen FridaysForFuture 
https:tcoGUaDRdBW6P",0,0,0,0,,Kl_Stone
126978307,1538740416153104384,2022-06-20 04:27:58+00:00,,{'place_id': '307e1ee2cb489e79'},1538740416153104384,"Waldbrand FridaysForFuture 
https:tcotlJWJLd9Nc",0,0,0,0,,Kl_Stone
126978307,1538739493846540288,2022-06-20 04:24:18+00:00,,{'place_id': '307e1ee2cb489e79'},1538739493846540288,"Sehr gut

Kolumbien FridaysForFuture 
https:tcoolON8jBaIV",0,0,2,0,,Kl_Stone
126978307,1538738737877766145,2022-06-20 04:21:18+00:00,,{'place_id': '307e1ee2cb489e79'},1538738737877766145,"Spoiler: NEIN

FridaysForFuture AtomkraftNeinDanke 
https:tcos3lvSY6Foq",0,1,3,0,,Kl_Stone
126978307,1538617136742031360,2022-06-19 20:30:15+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'mikedunn046', 'id': '3382973177'}]}",,1538620196964950016,@mikedunn046 Nur Dummköpfe würden hinter diesem Anblick FridaysForFuture vermuten,0,0,4,0,,Kl_Stone
126978307,1538487502834741248,2022-06-19 20:26:42+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'granzow_andreas', 'id': '1518881940774047745'}, {'start': 152, 'end': 160, 'username': 'curryja', 'id': '54399803'}]}",,1538619303095934977,"@granzow_andreas Das Sharepic ist von Dummköpfen für Dummköpfe gemacht

GretaThunberg hat nie behauptet Wissenschaftlerin zu sein

Dr Judith Curry @curryja hält den menschengemachten Klimawandel NICHT für Schwindel und hat durchaus Medienpräsenz

FridaysForFuture",0,1,9,0,,Kl_Stone
126978307,1538588264029999104,2022-06-19 20:12:47+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'lubecapaule', 'id': '739854423778861060'}]}",,1538615800868876290,"@lubecapaule Die Verurteilung eines Angriffskrieges hat nichts mit Russophopie zu tun Der Verbrecher ist Putin, nicht das russische Volk

FridaysForFuture unterstützt den Boykott von russischen Gas amp Öl Die Lücke muss so schnell wie möglich mit erneuerbaren Energien gefüllt werden",0,0,0,0,,Kl_Stone
